,points,nu_error,c_error,s_error,type
0,5,0.022702290859176633,0.6709731927388182,-0.5705845411998249,random
1,10,-0.05369082360550492,0.5927845194464935,-0.5836954339409283,random
2,15,-0.03946171735470838,0.6052276680067626,-0.5817548622365551,random
3,20,-0.006614996468179091,0.644256688955183,-0.5898832591232325,random
4,25,-0.005954542763451975,0.6383811904067898,-0.6044210489821765,random
5,30,0.004119148705002629,0.6346888578634033,-0.6338726037026393,random
6,35,0.016707353563625738,0.6341635704072719,-0.6498632497540883,random
7,40,0.02118751843453537,0.6336274020317391,-0.6570470663147632,random
8,45,-0.009583083164934503,0.6334497259199899,-0.6201833205754514,random
9,50,-0.007936503422804608,0.6332273411670271,-0.6174378056699585,random
10,55,-0.018927793802830495,0.6331747835714917,-0.6016035294120474,random
11,60,-0.013612227224628515,0.6330369329461198,-0.6093881666247909,random
12,65,-0.015372021839190952,0.6320581095382194,-0.607358011784588,random
13,70,-0.019049601880549827,0.6328923064431543,-0.6019618662919007,random
14,75,0.03913640871779911,0.6328371672617,-0.6786649652512803,random
15,80,0.00528555690425736,0.6328221125878243,-0.6349876163740762,random
16,85,-0.020297055752347193,0.6328170581007869,-0.5971392084388324,random
17,90,-0.020339870954452555,0.632759759025375,-0.5971503645560088,random
18,95,-0.02037728583326226,0.6327429789245635,-0.5971520800826173,random
19,100,-0.012208378042892765,0.632753576369421,-0.6103073832388927,random
20,5,0.027061922858197973,0.6684026519654352,-0.6024493775768207,random
21,10,-0.031118415375160136,0.6003359852590396,-0.6171925490047606,random
22,15,0.027917294505320545,0.6491724474259785,-0.6421642376483727,random
23,20,0.02325643314939696,0.6387703634505051,-0.650111737621797,random
24,25,-0.005714148144413289,0.6288026012141584,-0.6292436345693089,random
25,30,-0.012950687504238445,0.6306633840773612,-0.6155199616286624,random
26,35,-0.010912972342650762,0.6337612251782225,-0.6110037038931999,random
27,40,-0.013810064970069313,0.6336471623424693,-0.6044205672588678,random
28,45,-0.007046704564336759,0.6337605774647114,-0.6136636197649785,random
29,50,-0.0023847647843173725,0.6341220540988574,-0.6214825191543379,random
30,55,-0.009031232945392986,0.6345095470530614,-0.6116442279137392,random
