,kernel,pid,visit,r2,max_error,MSE,log_marginal_likelihood
0,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,1,-0.5167194428084605,-1.8392323789100817,-0.37081902519708715,-125.31248281363979
1,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,2,-0.3534598014340774,-0.5900526960656306,-0.05887124670939116,3.611324861906894
2,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,3,0.2173517932090511,-0.44435811067267916,-0.0371622653817827,23.533599324631552
3,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,1,-0.08813944518285619,-2.833364171424466,-0.7853896273459288,-187.2381048516419
4,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,2,-0.08502796862587378,-2.5798821215197245,-0.5766994529963978,-161.07250033364795
5,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,3,-0.4511077215141078,-2.073645644467045,-1.1094815118308248,-201.9793579136819
6,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,1,0.11417910912038956,-3.8859838197248395,-2.4249460414729684,-349.6103678331653
7,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,2,0.08435780539524489,-2.3223297553008755,-1.093346317007049,-198.0665193845437
8,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,3,0.17392612907618138,-1.6795438734986678,-0.28302699188971747,-84.52463759121603
9,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,1,-0.9427816123771204,-1.7422612061497234,-1.6001185830185674,-112.76703104814952
10,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,2,-0.09287490266927964,-2.2938013456512136,-1.6684541192279503,-260.41221854911845
11,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,3,-0.11170508720988241,-1.7450564541707443,-1.5856267734008145,-286.8589963223602
12,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,1,0.08960637892536236,-0.4294689884374853,-0.017236842257139347,90.87385482400182
13,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,2,0.1374203469108885,-0.30984924897817523,-0.013769410525006062,109.07614643433436
14,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,3,0.24807447477459368,-0.2520848156637209,-0.007896744868532242,154.82374036638015
15,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,1,-0.44736070765945757,-0.5989412258615915,-0.044742614611075225,26.94456293932174
16,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,2,0.21773220697426332,-0.4425642570018299,-0.021097549703307128,72.0148988835791
17,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,3,0.314699953210867,-0.2840605910788783,-0.012648381947198545,110.18018783082957
18,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,1,0.3891205051508378,-1.1536160238027446,-0.16682409520522667,-85.69812382074855
19,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,2,0.012548352200718682,-2.342456339707683,-0.38175062082521927,-118.04213493492551
20,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,3,0.3360897250813172,-0.6334772569456932,-0.0698500833215511,-24.84274404552083
21,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,1,-0.11914435346557443,-1.705291214394786,-0.3522909142178411,-132.6145048240379
22,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,2,-0.3173768643705043,-1.5229332470512262,-0.40346114553346624,-138.3241668134325
23,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,3,-0.525564506258095,-1.406110873044625,-0.26880592935772457,-109.19776827742871
24,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,1,0.36201290303964406,-0.22641742043163654,-0.00863889985879535,130.96632709376146
25,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,2,0.31197977864953724,-0.27451194758713354,-0.010350031857475909,113.6187888511988
26,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,3,-0.2467646613746953,-0.572607665191695,-0.026703300526294115,61.96049381358853
27,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),32,1,-0.20321925683433628,-1.2123345374509413,-0.13433181978025513,-19.503154189634955
28,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),32,2,-0.10007793288130848,-0.4111914059398389,-0.02709410070166085,76.00545977346155
29,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,1,0.015509768586616924,-0.7886896632289329,-0.10682596238489979,-22.40606439020614
30,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,2,-0.5300472235625273,-0.5109843860243768,-0.059904969488890424,51.674586063498566
31,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,3,0.442167473316856,-0.40016509482319246,-0.019017587181744334,80.48269228891456
32,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),35,1,0.304498401741317,-0.5754340109720086,-0.040830056787981385,18.22178791451526
33,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),35,2,-0.19019884167498302,-0.44749923853469137,-0.03186668930764544,54.1417379405854
34,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,1,-0.05323931068751362,-2.3778886404297275,-1.3001980527082515,-197.87359833246848
35,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,2,-0.05890009914384677,-2.5959770256554457,-1.2731378427240354,-219.08017250376568
36,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,3,-0.11960059861540025,-1.9866180709811818,-1.4655308133887703,-238.0490457185024
37,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,1,-0.25691515381580327,-1.1645759599630918,-0.2587584963696818,-65.9225295254565
38,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,2,-8.873626402067197,-2.218011425348057,-2.3456597116882887,-260.6914541358352
39,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,3,-0.11870761467767647,-1.6995139118081988,-1.208301724894451,-243.80838789399144
40,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),21,1,-0.5169091711085059,-1.8396989751577195,-0.3710213481711252,-125.31248832192868
41,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),21,2,-0.324672134053161,-0.5940677339383187,-0.05752929703424392,3.6428499871712745
42,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),21,3,0.16374565604525243,-0.4761866615291064,-0.03967478188799093,19.475486444141353
43,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),23,1,-0.08617497349907995,-2.8315548626439155,-0.7850351943135138,-187.24008468477786
44,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),23,2,-0.023069525934701796,-2.414889858408296,-0.513691634687629,-161.04501620094828
45,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),23,3,-0.585679524925655,-1.8889253259195578,-1.1970507215356356,-205.27392453094
46,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),25,1,0.08675736296035666,-3.867811762543345,-2.5022212712305234,-350.28735104851717
47,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),25,2,0.026635681194679007,-2.4284150178377746,-1.1706077846084086,-201.06863154393758
48,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),25,3,0.18185967915033724,-1.6243832202747033,-0.2760446592794647,-86.90539635565901
